rand_25000 ; 16.999633789062500000, 13.579345703125000000,  ,  ,  639.26 
rand_25000 ; 17.090393066406250000, 13.691101074218750000,  ,  ,  638.718 
rand_25000 ; 17.389404296875000000, 13.935241699218750000,  ,  ,  643.434 
rand_25000 ; 17.161743164062500000, 13.681823730468750000,  ,  ,  650.15 
rand_25000 ; 17.191955566406250000, 13.779663085937500000,  ,  ,  640.709 
rand_25000 ; 17.278015136718750000, 13.871887207031250000,  ,  ,  638.009 
rand_25000 ; 17.453308105468750000, 14.025390625000000000,  ,  ,  643.514 
rand_25000 ; 17.326965332031250000, 13.912902832031250000,  ,  ,  640.108 
rand_25000 ; 17.197937011718750000, 13.783813476562500000,  ,  ,  639.87 
rand_25000 ; 17.362304687500000000, 13.902832031250000000,  ,  ,  647.149 
rand_50000 ; 65.813964843750000000, 51.458679199218750000,  ,  ,  2718.43 
rand_50000 ; 64.796020507812500000, 50.505004882812500000,  ,  ,  2718.38 
rand_50000 ; 64.586425781250000000, 50.404479980468750000,  ,  ,  2701.97 
rand_50000 ; 64.625000000000000000, 50.500244140625000000,  ,  ,  2698.83 
rand_50000 ; 65.027282714843750000, 50.837768554687500000,  ,  ,  2710.18 
rand_50000 ; 65.905029296875000000, 51.643981933593750000,  ,  ,  2708.09 
rand_50000 ; 65.510559082031250000, 51.292968750000000000,  ,  ,  2707.93 
rand_50000 ; 65.147644042968750000, 51.061157226562500000,  ,  ,  2704.52 
rand_50000 ; 65.504333496093750000, 51.150817871093750000,  ,  ,  2723.87 
rand_50000 ; 65.632873535156250000, 51.313903808593750000,  ,  ,  2722.61 
rand_75000 ; 145.466369628906250000, 113.145812988281250000,  ,  ,  6165.56 
rand_75000 ; 145.068542480468750000, 112.931213378906250000,  ,  ,  6182.3 
rand_75000 ; 144.058471679687500000, 112.196960449218750000,  ,  ,  6159.81 
rand_75000 ; 144.827148437500000000, 112.735595703125000000,  ,  ,  6167.69 
rand_75000 ; 143.815856933593750000, 111.900451660156250000,  ,  ,  6161.75 
rand_75000 ; 144.060363769531250000, 112.268859863281250000,  ,  ,  6149.01 
rand_75000 ; 144.378601074218750000, 112.504394531250000000,  ,  ,  6163.14 
