rand_25000,2.221697998046875178,97.4082
rand_50000,2.816711425781250000,122.756
rand_75000,3.178918457031250089,137.588
rand_100000,3.571258544921875000,156.312
rand_200000,5.121575927734374645,210.764
rand_300000,6.485870361328125000,261.245
rand_400000,7.256201171875000355,293.378
rand_500000,8.266241455078125355,338.465
rand_600000,9.301837158203124289,381.87
rand_700000,10.335266113281250000,436.648
rand_800000,11.316802978515625000,482.209
rand_900000,12.345318603515625711,530.879
rand_1000000,13.052734375000000000,566.927
sortd_25000,1.942864990234375089,89.8128
sortd_50000,2.350695800781250178,106.907
sortd_75000,2.686798095703125000,119.147
sortd_100000,2.944091796875000000,130.402
sortd_200000,4.179541015625000355,179.337
sortd_300000,4.981524658203125178,210.996
sortd_400000,5.448333740234375000,231.755
sortd_500000,6.176788330078125000,264.219
sortd_600000,6.772796630859375000,289.938
sortd_700000,7.600952148437500000,325.934
sortd_800000,8.520776367187499645,367.849
sortd_900000,9.220385742187499289,401.164
sortd_1000000,9.701904296875000000,425.43
alt_25000,2.006561279296875000,93.8695
alt_50000,2.377209472656249822,108.381
alt_75000,2.733050537109375178,122.427
alt_100000,3.150830078124999822,139.323
alt_200000,4.428021240234374822,186.8
alt_300000,5.360314941406249645,217.587
alt_400000,6.199285888671875355,250.028
alt_500000,7.200274658203125178,283.517
alt_600000,7.579876708984374822,307.41
alt_700000,8.571392822265625711,348.601
alt_800000,9.479296874999999289,388.893
alt_900000,9.864916992187499289,416.074
alt_1000000,10.806530761718750711,451.577
