
rand_25000 ; 3.551452636718750000, 3.128723144531250000,  ,  ,  67.18 
rand_25000 ; 3.470581054687500000, 3.058288574218750000,  ,  ,  65.208 
rand_25000 ; 3.395202636718750000, 2.992736816406250000,  ,  ,  64.204 
rand_25000 ; 3.410461425781250000, 3.005371093750000000,  ,  ,  63.491 
rand_25000 ; 3.596740722656250000, 3.153869628906250000,  ,  ,  70.093 
rand_25000 ; 3.725097656250000000, 3.265075683593750000,  ,  ,  72.521 
rand_25000 ; 3.586975097656250000, 3.149963378906250000,  ,  ,  69.927 
rand_25000 ; 3.411254882812500000, 3.002380371093750000,  ,  ,  64.978 
rand_25000 ; 4.384521484375000000, 3.889770507812500000,  ,  ,  74.966 
rand_25000 ; 3.812988281250000000, 3.365478515625000000,  ,  ,  70.999 
rand_50000 ; 4.424682617187500000, 3.912109375000000000,  ,  ,  80.89 
rand_50000 ; 4.125305175781250000, 3.599731445312500000,  ,  ,  82.701 
rand_50000 ; 4.197814941406250000, 3.680786132812500000,  ,  ,  82.488 
rand_50000 ; 4.365600585937500000, 3.810729980468750000,  ,  ,  87.823 
rand_50000 ; 4.190979003906250000, 3.664794921875000000,  ,  ,  83.884 
rand_50000 ; 4.244628906250000000, 3.724060058593750000,  ,  ,  82.938 
rand_50000 ; 4.602539062500000000, 4.053771972656250000,  ,  ,  85.38 
rand_50000 ; 4.165588378906250000, 3.615356445312500000,  ,  ,  88.217 
rand_50000 ; 4.185485839843750000, 3.681579589843750000,  ,  ,  80.083 
rand_50000 ; 4.104064941406250000, 3.596069335937500000,  ,  ,  80.287 
rand_75000 ; 4.599731445312500000, 4.002502441406250000,  ,  ,  97.284 
rand_75000 ; 4.546630859375000000, 3.979492187500000000,  ,  ,  90.221 
rand_75000 ; 4.822998046875000000, 4.147338867187500000,  ,  ,  106.27 
rand_75000 ; 4.611389160156250000, 4.035888671875000000,  ,  ,  91.906 
rand_75000 ; 4.707031250000000000, 4.127563476562500000,  ,  ,  92.454 
rand_75000 ; 4.600036621093750000, 4.000000000000000000,  ,  ,  96.46 
rand_75000 ; 4.798950195312500000, 4.203369140625000000,  ,  ,  94.729 
rand_75000 ; 4.628234863281250000, 4.034729003906250000,  ,  ,  96.028 
