
rand_25000 ; 3.311218261718750000, 2.904541015625000000,  ,  ,  63.376 
rand_25000 ; 3.555297851562500000, 3.128234863281250000,  ,  ,  67.023 
rand_25000 ; 3.511840820312500000, 3.083984375000000000,  ,  ,  66.933 
rand_25000 ; 3.350708007812500000, 2.952636718750000000,  ,  ,  63.714 
rand_25000 ; 3.462646484375000000, 3.032714843750000000,  ,  ,  66.51 
rand_25000 ; 3.796203613281250000, 3.369567871093750000,  ,  ,  67.432 
rand_25000 ; 3.464843750000000000, 3.042541503906250000,  ,  ,  66.787 
rand_25000 ; 3.665832519531250000, 3.215332031250000000,  ,  ,  70.414 
rand_25000 ; 3.640380859375000000, 3.199279785156250000,  ,  ,  69.731 
rand_25000 ; 3.485351562500000000, 3.065002441406250000,  ,  ,  67.605 
rand_50000 ; 4.396545410156250000, 3.879760742187500000,  ,  ,  82.54 
rand_50000 ; 4.412414550781250000, 3.881347656250000000,  ,  ,  83.18 
rand_50000 ; 4.151855468750000000, 3.635437011718750000,  ,  ,  81.687 
rand_50000 ; 4.332275390625000000, 3.786560058593750000,  ,  ,  86.146 
rand_50000 ; 4.351257324218750000, 3.834106445312500000,  ,  ,  80.931 
rand_50000 ; 4.244628906250000000, 3.720886230468750000,  ,  ,  82.275 
rand_50000 ; 4.446350097656250000, 3.919616699218750000,  ,  ,  79.768 
rand_50000 ; 4.151245117187500000, 3.675476074218750000,  ,  ,  77.664 
rand_50000 ; 4.259399414062500000, 3.734008789062500000,  ,  ,  84.154 
rand_50000 ; 4.129882812500000000, 3.632507324218750000,  ,  ,  77.146 
rand_75000 ; 4.747314453125000000, 4.131958007812500000,  ,  ,  98.004 
rand_75000 ; 4.843994140625000000, 4.247131347656250000,  ,  ,  98.065 
rand_75000 ; 4.792724609375000000, 4.223022460937500000,  ,  ,  88.415 
rand_75000 ; 4.914367675781250000, 4.285766601562500000,  ,  ,  99.625 
rand_75000 ; 4.834289550781250000, 4.226928710937500000,  ,  ,  96.995 
rand_75000 ; 5.075256347656250000, 4.419311523437500000,  ,  ,  103.558 
rand_75000 ; 4.720947265625000000, 4.136352539062500000,  ,  ,  92.197 
rand_75000 ; 4.813964843750000000, 4.231140136718750000,  ,  ,  93.401 
rand_75000 ; 4.825134277343750000, 4.217163085937500000,  ,  ,  95.144 
rand_75000 ; 4.738769531250000000, 4.171020507812500000,  ,  ,  88.244 
rand_100000 ; 5.357238769531250000, 4.668518066406250000,  ,  ,  108.862 
rand_100000 ; 5.763671875000000000, 5.022705078125000000,  ,  ,  118.637 
rand_100000 ; 5.321228027343750000, 4.670532226562500000,  ,  ,  103.607 
rand_100000 ; 5.249084472656250000, 4.594970703125000000,  ,  ,  102.717 
rand_100000 ; 5.343627929687500000, 4.661132812500000000,  ,  ,  107.662 
rand_100000 ; 5.481994628906250000, 4.828735351562500000,  ,  ,  103.722 
rand_100000 ; 5.642395019531250000, 4.918457031250000000,  ,  ,  114.882 
rand_100000 ; 5.324401855468750000, 4.618896484375000000,  ,  ,  113.031 
rand_100000 ; 5.419921875000000000, 4.753845214843750000,  ,  ,  105.791 
rand_100000 ; 5.272033691406250000, 4.621459960937500000,  ,  ,  102.903 
rand_200000 ; 6.782104492187500000, 5.879394531250000000,  ,  ,  144.576 
rand_200000 ; 6.819274902343750000, 5.889587402343750000,  ,  ,  149.532 
rand_200000 ; 6.933654785156250000, 5.977355957031250000,  ,  ,  153.004 
rand_200000 ; 6.889892578125000000, 5.986206054687500000,  ,  ,  145.664 
rand_200000 ; 6.857238769531250000, 5.942321777343750000,  ,  ,  146.698 
rand_200000 ; 6.697753906250000000, 5.841979980468750000,  ,  ,  136.589 
rand_200000 ; 7.003723144531250000, 6.114685058593750000,  ,  ,  142.818 
rand_200000 ; 6.937744140625000000, 6.012207031250000000,  ,  ,  149.646 
rand_200000 ; 7.060913085937500000, 6.117309570312500000,  ,  ,  150.052 
rand_200000 ; 7.007019042968750000, 6.085815429687500000,  ,  ,  146.867 
rand_300000 ; 9.139770507812500000, 7.961730957031250000,  ,  ,  189.876 
rand_300000 ; 9.186096191406250000, 8.012634277343750000,  ,  ,  188.762 
rand_300000 ; 7.991577148437500000, 6.889648437500000000,  ,  ,  178.237 
rand_300000 ; 9.077392578125000000, 7.844116210937500000,  ,  ,  198.276 
rand_300000 ; 9.296997070312500000, 8.106018066406250000,  ,  ,  191.493 
rand_300000 ; 9.121154785156250000, 7.926269531250000000,  ,  ,  191.638 
rand_300000 ; 9.248901367187500000, 8.071777343750000000,  ,  ,  190.019 
rand_300000 ; 9.369201660156250000, 8.161132812500000000,  ,  ,  194.669 
rand_300000 ; 9.253845214843750000, 8.031250000000000000,  ,  ,  197.982 
rand_300000 ; 9.129760742187500000, 7.921569824218750000,  ,  ,  195.182 
rand_400000 ; 10.217712402343750000, 8.852844238281250000,  ,  ,  221.2 
rand_400000 ; 10.299865722656250000, 8.933715820312500000,  ,  ,  221.889 
rand_400000 ; 10.164245605468750000, 8.817382812500000000,  ,  ,  218.254 
rand_400000 ; 10.200134277343750000, 8.811096191406250000,  ,  ,  224.678 
rand_400000 ; 8.963500976562500000, 7.647277832031250000,  ,  ,  216.747 
rand_400000 ; 10.166198730468750000, 8.820678710937500000,  ,  ,  218.945 
rand_400000 ; 10.100158691406250000, 8.773620605468750000,  ,  ,  216.987 
rand_400000 ; 10.271911621093750000, 8.911376953125000000,  ,  ,  221.678 
rand_400000 ; 10.355712890625000000, 8.986145019531250000,  ,  ,  222.583 
rand_400000 ; 10.239440917968750000, 8.891174316406250000,  ,  ,  219.15 
rand_500000 ; 11.711181640625000000, 10.133422851562500000,  ,  ,  258.821 
rand_500000 ; 11.600524902343750000, 9.965332031250000000,  ,  ,  266.012 
rand_500000 ; 11.470642089843750000, 9.894897460937500000,  ,  ,  257.509 
rand_500000 ; 10.448669433593750000, 8.912231445312500000,  ,  ,  253.507 
rand_500000 ; 11.400939941406250000, 9.793395996093750000,  ,  ,  263.347 
rand_500000 ; 11.335083007812500000, 9.744140625000000000,  ,  ,  259.496 
rand_500000 ; 11.300231933593750000, 9.720397949218750000,  ,  ,  256.179 
rand_500000 ; 10.336975097656250000, 8.795166015625000000,  ,  ,  249.989 
rand_500000 ; 11.877685546875000000, 10.227966308593750000,  ,  ,  271.055 
rand_500000 ; 11.436645507812500000, 9.827819824218750000,  ,  ,  261.37 
rand_600000 ; 12.862243652343750000, 11.028686523437500000,  ,  ,  300.546 
rand_600000 ; 12.429565429687500000, 10.565124511718750000,  ,  ,  303.162 
rand_600000 ; 12.454895019531250000, 10.654235839843750000,  ,  ,  293.322 
rand_600000 ; 12.539916992187500000, 10.693664550781250000,  ,  ,  299.502 
rand_600000 ; 12.490112304687500000, 10.687561035156250000,  ,  ,  294.102 
rand_600000 ; 12.461853027343750000, 10.666687011718750000,  ,  ,  294.339 
rand_600000 ; 11.350708007812500000, 9.584777832031250000,  ,  ,  287.545 
rand_600000 ; 11.079956054687500000, 9.374938964843750000,  ,  ,  278.714 
rand_600000 ; 12.579833984375000000, 10.748657226562500000,  ,  ,  300.691 
rand_600000 ; 12.289916992187500000, 10.452087402343750000,  ,  ,  300.642 
