Pattern,3rd Value Avg,4th Value Avg
25000,3.19788818359375,69.24449999999999
50000,3.97720947265625,83.0952
75000,4.29713134765625,94.184
100000,4.735791015625,107.5999
200000,5.95015869140625,144.3889
300000,7.7972900390625,189.0635
400000,8.4572509765625,221.6329
500000,9.6145751953125,259.77570000000003
600000,10.190911865234375,286.53000000000003
700000,11.06903076171875,333.0038
800000,11.571441650390625,361.7311
900000,13.30552978515625,412.2898
1000000,14.4913818359375,458.12870000000004
25000,3.201165771484375,68.3567
50000,3.73389892578125,83.4691
75000,4.064190673828125,95.7217
100000,4.38729248046875,103.0228
200000,5.63853759765625,144.66500000000002
25000,2.743328857421875,61.124199999999995
50000,3.22147216796875,73.13730000000001
75000,3.552410888671875,83.4114
100000,3.828509521484375,91.8331
200000,5.135504150390625,127.66600000000001
300000,6.32843017578125,163.9845
400000,7.275347900390625,202.0642
500000,7.19500732421875,220.4969
600000,8.486376953125,251.17310000000003
700000,9.507196044921875,298.5531
800000,9.23194580078125,314.56010000000003
900000,10.675433349609374,352.1377
1000000,11.37410888671875,390.08000000000004
