rand_500000 ; 102.247253417968750000, 52.614746093750000000,  ,  ,  10003 
rand_500000 ; 103.317871093750000000, 53.738220214843750000,  ,  ,  10003.1 
rand_500000 ; 103.446411132812500000, 53.842834472656250000,  ,  ,  10003.5 
rand_500000 ; 85.265991210937500000, 36.226074218750000000,  ,  ,  10003.6 
rand_500000 ; 117.642028808593750000, 68.297485351562500000,  ,  ,  10002.1 
rand_500000 ; 101.195861816406250000, 51.984497070312500000,  ,  ,  10001.7 
rand_500000 ; 128.290527343750000000, 75.392028808593750000,  ,  ,  10001.8 
rand_500000 ; 151.891967773437500000, 88.378906250000000000,  ,  ,  10002 
rand_500000 ; 170.069030761718750000, 107.945312500000000000,  ,  ,  10003 
rand_500000 ; 130.668518066406250000, 75.108032226562500000,  ,  ,  10003.3 
