randcsb_25000,8.054888916015624289,422.449
randcsb_50000,8.383331298828125000,437.559
randcsb_75000,8.544598388671875711,447.367
randcsb_100000,8.687695312500000711,456.528
randcsb_200000,10.218389892578125355,517.303
randcsb_300000,11.076586914062499289,559.768
randcsb_400000,11.352874755859375000,562.964
randcsb_500000,11.979882812499999645,593.502
randcsb_600000,12.346783447265625711,609.877
randcsb_700000,13.283441162109374645,648.343
randcsb_800000,13.615869140624999645,669.103
randcsb_900000,14.137780761718749645,688.253
randcsb_1000000,14.673278808593750000,712.24
randcss_25000,1.683441162109375000,79.2394
randcss_50000,2.011737060546875178,93.3454
randcss_75000,2.326019287109375000,103.406
randcss_100000,2.498840332031250000,111.488
randcss_200000,3.515777587890625000,149.573
randcss_300000,4.106561279296874645,172.558
randcss_400000,4.622650146484375000,191.53
randcss_500000,4.999005126953124822,208.015
randcss_600000,5.473339843749999822,226.323
randcss_700000,6.171716308593749645,254.597
randcss_800000,6.617254638671875355,277.369
randcss_900000,7.465716552734375178,316.986
randcss_1000000,7.863281250000000000,340.696
